year;month_number;axe;composite_regularity;month;departure_punctuality
2017;4;Atlantique;89.20424865;2017-04;85.03453569
2017;7;Atlantique;81.0483871;2017-07;78.18908585
2017;2;Europe TGV;91.65;2017-02;78.92459827
2017;6;Europe TGV;87.69298633;2017-06;70.28047465
2017;10;Atlantique;89.18275959;2017-10;82.00883002
2017;9;Sud-Est;87.58833122;2017-09;82.90480864
2017;6;Sud-Est;84.74972992;2017-06;78.46964669
2017;5;Sud-Est;88.94146512;2017-05;82.98676749
2017;9;OUIGO;85.63134978;2017-09;70.69970845
2017;11;Est;93.14052651;2017-11;84.10059676
2015;8;Europe TGV;87.08133971;2015-08;66.7184265
2015;4;Europe TGV;91.22954259;2015-04;74.90832897
2015;5;Europe TGV;90.97550494;2015-05;74.6388443
2015;10;Atlantique;90.2762937;2015-10;85.99831508
2015;6;Sud-Est;86.90364827;2015-06;84.15189873
2015;9;Sud-Est;87.7557395;2015-09;85.63657998
2015;11;Sud-Est;90.76393237;2015-11;87.37682637
2015;9;Nord;90.97569098;2015-09;86.76056338
2015;7;Est;91.68451106;2015-07;83.70340999
2015;5;Est;95.24305556;2015-05;87.0506378
2017;1;Atlantique;89.86323411;2017-01;83.47398031
2017;1;Europe TGV;88.74321881;2017-01;75.30795073
2016;12;Europe TGV;90.63620072;2016-12;76.09539656
2017;2;Atlantique;90.8134142;2017-02;86.40077821
2016;9;Atlantique;84.29888084;2016-09;85.45388919
2016;8;Atlantique;87.54596323;2016-08;84.62623413
2017;1;OUIGO;86.94690265;2017-01;77.00892857
2017;2;Nord;93.36870027;2017-02;87.31707317
2016;10;OUIGO;86.78414097;2016-10;76.82119205
2016;9;Est;94.99632082;2016-09;85.99830795
2016;3;Europe TGV;91.91674734;2016-03;77.52873563
2015;12;Europe TGV;93.33333333;2015-12;72.92696321
2016;4;Sud-Est;92.85468911;2016-04;85.04742421
2016;2;Sud-Est;91.26945127;2016-02;86.1822087
2016;2;OUIGO;91.4893617;2016-02;81.66666667
2016;1;OUIGO;92.27373068;2016-01;82.30088496
2015;12;Sud-Est;93.72751447;2015-12;87.5
2016;1;Nord;92.92358804;2016-01;87.1899146
2016;6;Nord;83.5035944;2016-06;77.48837209
2016;3;Est;94.57937346;2016-03;89.27322192
2017;12;OUIGO;85.62019759;2017-12;67.58241758
2018;1;Atlantique;89.5;2018-01;86.3
2018;1;Nord;90.1;2018-01;85.1
2018;1;OUIGO;88.3;2018-01;74.08
2018;4;Est;91.7;2018-04;79
2018;4;Sud-Est;89.8;2018-04;82.4
2018;5;Atlantique;88.8;2018-05;82.3
2018;5;Nord;83.8;2018-05;80.7
2018;6;Est;87.6;2018-06;74
2018;6;Nord;85.5;2018-06;79.6
2018;2;OUIGO;88.8;2018-02;73.2
2018;3;Est;88.3;2018-03;79.1
2015;3;Nord;92.14659686;2015-03;87.9560612
2015;3;Est;94.57390146;2015-03;87.85321101
2018;7;Sud-Est;79.1;2018-07;87.4
2018;8;Sud-Est;85.7;2018-08;78.1
2018;11;Europe;87.1;2018-11;69.9
2018;10;Europe;88.9;2018-10;70.6
2018;9;Nord;87.7;2018-09;84.6
2018;6;Europe TGV;78.2;2018-06;70.4
2018;6;Sud-Est;83.9;2018-06;77.6
2018;1;Sud-Est;89.3;2018-01;85.4
2018;3;Europe TGV;90.8;2018-03;71.7
2015;3;Atlantique;93.67824889;2015-03;89.89966555
2015;3;Europe TGV;92.9749867;2015-03;78.6185487
2015;3;Sud-Est;93.48733234;2015-03;88.37994214
2015;5;Sud-Est;89.37618746;2015-05;85.25008506
2018;4;Nord;84.9;2018-04;79.2
2015;4;Est;92.67624914;2015-04;87.43356112
2015;9;Atlantique;88.79974831;2015-09;85.77616078
2015;7;Europe TGV;86.28113128;2015-07;71.56959526
2015;8;Atlantique;88.96867838;2015-08;83.90376144
2015;6;Atlantique;86.43907065;2015-06;81.89400521
2015;11;Atlantique;91.04501352;2015-11;86.67016991
2016;1;Sud-Est;91.38906348;2016-01;87.61459955
2015;10;Sud-Est;89.43919537;2015-10;86.08941333
2015;7;Nord;88.07531381;2015-07;83.08207705
2015;6;Nord;86.84210526;2015-06;82.55060729
2015;12;OUIGO;95.28985507;2015-12;83
2016;6;Atlantique;83.24000772;2016-06;80.80338266
2016;12;Atlantique;87.78171281;2016-12;83.29225352
2016;2;Atlantique;92.39646979;2016-02;88.0987746
2016;9;Europe TGV;90.35714286;2016-09;72.86652079
2016;10;Europe TGV;88.80361174;2016-10;72.76785714
2016;11;Europe TGV;88.61524164;2016-11;74.85714286
2016;6;Sud-Est;84.3510615;2016-06;77.49241186
2016;2;Est;94.0314903;2016-02;89.03278025
2016;6;Est;91.50019585;2016-06;83.40688438
2016;11;Est;94.41548771;2016-11;87.4248927
2017;3;Atlantique;90.82510354;2017-03;86.99059561
2017;8;Atlantique;87.61169166;2017-08;80.92105263
2017;4;Europe TGV;88.67151956;2017-04;75.1399776
2017;7;Europe TGV;88.16394814;2017-07;70.91653866
2017;3;Europe TGV;91.09452736;2017-03;75.93158216
2017;5;Europe TGV;91.00436681;2017-05;74.37971953
2017;6;OUIGO;83.44827586;2017-06;72.38979118
2017;5;OUIGO;88.24833703;2017-05;78.22222222
2017;5;Est;95.31914894;2017-05;88.26425934
2017;6;Est;91.96363636;2017-06;83.2147342
2017;12;Europe TGV;87.55615454;2017-12;71.92200557
2017;12;Sud-Est;86.99775823;2017-12;81.73652695
2017;8;OUIGO;84.69101124;2017-08;69.29577465
2017;11;OUIGO;84.32510885;2017-11;72.01166181
2017;9;Nord;89.19677306;2017-09;85.90217838
2018;8;Atlantique;87.8;2018-08;81
2018;8;OUIGO;86.6;2018-08;74.5
2018;7;OUIGO;81;2018-07;80.9
2018;10;Sud-Est;86;2018-10;83.5
2018;11;Sud-Est;85.2;2018-11;82.5
2018;9;OUIGO;89.7;2018-09;80.9
2018;10;Nord;87;2018-10;84
2018;6;Atlantique;85.3;2018-06;81.4
2015;10;Europe TGV;92.04647006;2015-10;78.0720339
2016;1;Atlantique;92.38017872;2016-01;88.56434767
2017;12;Atlantique;84.14959929;2017-12;77.22425858
2017;11;Europe TGV;87.92866941;2017-11;74.67348098
2017;10;OUIGO;88.77980365;2017-10;74.01685393
2017;12;Nord;86.57424298;2017-12;83.23036187
2017;9;Est;93.66852886;2017-09;85.16320475
2017;12;Est;90.87936047;2017-12;79.24302789
2017;10;Est;93.60632184;2017-10;85.07030604
2015;9;Europe TGV;88.79818594;2015-09;73.90374332
2015;1;Atlantique;91.70792079;2015-01;87.35303997
2015;1;Europe TGV;90.27518034;2015-01;75.4982415
2018;5;Sud-Est;87.8;2018-05;81.3
2015;2;Sud-Est;90.53859677;2015-02;85.76107568
2015;1;Sud-Est;90.55282372;2015-01;86.02098467
2015;4;Nord;89.58755916;2015-04;84.94711147
2015;10;Est;95.06502167;2015-10;85.21674694
2015;10;Nord;91.24348958;2015-10;85.93141076
2015;8;Est;95.34127844;2015-08;86.30522088
2016;5;Europe TGV;90.0329102;2016-05;74.89010989
2015;2;Atlantique;88.80988658;2015-02;85.29520295
2015;12;Atlantique;92.40506329;2015-12;86.08318891
2016;2;Europe TGV;90.59180577;2016-02;78.23458283
2015;11;Europe TGV;90.42357274;2015-11;75.64032698
2016;3;Sud-Est;92.04124376;2016-03;86.90812721
2016;5;OUIGO;90.54054054;2016-05;79.72972973
2015;12;Nord;94.12173913;2015-12;87.5797533
2015;11;Nord;88.74104401;2015-11;85.39187526
2016;4;Est;92.85714286;2016-04;86.61037394
2016;6;Europe TGV;85.45454545;2016-06;66.68671076
2016;11;Atlantique;80.72026801;2016-11;80.55147059
2016;10;Atlantique;85.01964637;2016-10;83.93912265
2016;8;Sud-Est;88.9170132;2016-08;83.93962848
2016;10;Sud-Est;87.18523629;2016-10;83.19517709
2016;11;Sud-Est;85.4691689;2016-11;83.61934477
2016;9;Nord;91.43526263;2016-09;85.72570972
2016;12;Est;94.0822112;2016-12;86.66117744
2016;6;OUIGO;85.64356436;2016-06;74
2016;8;Est;95.74022346;2016-08;88.01619433
2017;6;Atlantique;81.31886477;2017-06;77.99963363
2017;5;Atlantique;87.61283852;2017-05;83.92694064
2017;1;Sud-Est;89.21552159;2017-01;84.62656733
2017;3;Sud-Est;91.76512079;2017-03;84.47301773
2017;2;OUIGO;91.89189189;2017-02;79.06403941
2017;5;Nord;90.58073654;2017-05;86.78232135
2017;7;Nord;89.54100828;2017-07;84.94002665
2017;3;OUIGO;90.24390244;2017-03;78.04878049
2017;1;Est;91.69598874;2017-01;83.11582382
2017;4;Est;90.79528719;2017-04;86.15384615
2018;4;Atlantique;86.3;2018-04;81.1
2018;4;OUIGO;90.8;2018-04;76.6
2018;2;Atlantique;87.7;2018-02;83.2
2018;2;Est;90.5;2018-02;79.4
2018;2;Europe TGV;89.6;2018-02;73.8
2018;1;Est;94.3;2018-01;83.9
2018;1;Europe TGV;88.3;2018-01;74.6
2018;9;Atlantique;90.6;2018-09;85.2
2018;9;Est;90.2;2018-09;79.2
2018;10;Atlantique;89.7;2018-10;86.5
2018;9;Europe;88.9;2018-09;69
2018;11;Nord;88.7;2018-11;84.4
2018;10;OUIGO;88.9;2018-10;80.4
2018;11;OUIGO;88.7;2018-11;80.5
2018;11;Est;93.1;2018-11;81.5
2018;8;Europe TGV;88.4;2018-08;66.7
2018;7;Nord;78.2;2018-07;87.3
2018;8;Nord;86.4;2018-08;84.1
2018;7;Atlantique;82.8;2018-07;87.9
2018;8;Est;90.1;2018-08;81.3
2018;7;Est;89.9;2018-07;87.6
2018;5;Est;92.5;2018-05;74
2018;5;OUIGO;88.6;2018-05;76.5
2018;4;Europe TGV;87.8;2018-04;70.4
2015;6;Europe TGV;88.17863398;2015-06;75.43489721
2015;5;Atlantique;92.17418744;2015-05;86.84119279
2015;2;Europe TGV;88.64306785;2015-02;73.45547507
2015;1;Nord;91.48514851;2015-01;84.90566038
2015;2;Nord;91.19338605;2015-02;85.94827586
2015;5;Nord;90.46487954;2015-05;86.17586912
2015;6;Est;92.62155729;2015-06;85.93572779
2016;3;Atlantique;89.76052849;2016-03;86.10108303
2015;7;Atlantique;82.44761616;2015-07;79.39149437
2016;4;Atlantique;90.46574418;2016-04;85.76208178
2016;7;Atlantique;86.54493032;2016-07;81.72974885
2016;7;Sud-Est;85.02053205;2016-07;80.52529183
2015;8;Sud-Est;87.16336075;2015-08;82.96050332
2016;3;OUIGO;90.68181818;2016-03;80.90909091
2016;5;Est;93.66269165;2016-05;87.38049713
2015;11;Est;93.67657222;2015-11;86.06965174
2015;12;Est;95.8885491;2015-12;88.18454614
2016;8;Europe TGV;91.23031077;2016-08;73.75259875
2016;12;Sud-Est;89.53746373;2016-12;84.31881372
2016;9;OUIGO;93.13501144;2016-09;81.00686499
2016;8;OUIGO;87.94642857;2016-08;74.55357143
2016;8;Nord;90.54106656;2016-08;85.36231884
2017;3;Est;94.44638491;2017-03;88.09619238
2017;2;Est;94.20458965;2017-02;87.84922395
2017;4;Nord;91.66059723;2017-04;87.19693747
2016;10;Nord;88.52892562;2016-10;84.23742138
2016;12;Nord;90.28294862;2016-12;86.82101514
2017;10;Europe TGV;91.15044248;2017-10;74.54844007
2017;8;Europe TGV;87.21578722;2017-08;70.09391992
2017;4;Sud-Est;89.23893805;2017-04;83.45077128
2017;7;Sud-Est;85.16483516;2017-07;79.65428174
2017;10;Sud-Est;89.48381452;2017-10;83.79042936
2017;7;OUIGO;85.28571429;2017-07;70.10014306
2017;8;Nord;88.53451756;2017-08;86.26373626
2017;11;Nord;87.16861082;2017-11;83.89095415
2017;8;Est;94.12196914;2017-08;86.00840336
2017;7;Est;91.32841328;2017-07;82.90417898
2018;3;Atlantique;91.6;2018-03;85.8
2018;2;Sud-Est;89;2018-02;84.8
2018;11;Atlantique;88.4;2018-11;86.5
2018;10;Est;90.8;2018-10;80.1
2018;2;Nord;86.8;2018-02;81.4
2018;3;Nord;86.7;2018-03;83.6
2018;3;OUIGO;92.1;2018-03;77.8
2018;3;Sud-Est;92.2;2018-03;86.4
2018;5;Europe TGV;87.9;2018-05;71.2
2015;4;Atlantique;92.82912286;2015-04;87.88873531
2015;4;Sud-Est;88.36816226;2015-04;85.44794588
2015;7;Sud-Est;82.46824526;2015-07;80.10632825
2018;6;OUIGO;85.6;2018-06;71.7
2015;8;Nord;89.19797688;2015-08;84.79404032
2015;1;Est;95.75983718;2015-01;88.66866118
2015;2;Est;94.41529235;2015-02;87.11276332
2017;9;Europe TGV;90.05795809;2017-09;66.82879377
2017;9;Atlantique;87.58510792;2017-09;80.95548671
2017;11;Atlantique;88.07564602;2017-11;83.0329599
2017;2;Sud-Est;91.13238216;2017-02;85.07173323
2017;8;Sud-Est;84.11753766;2017-08;82.652858
2017;4;OUIGO;89.74943052;2017-04;76.48401826
2017;3;Nord;90.06168609;2017-03;86.48757017
2017;1;Nord;89.30555556;2017-01;86.10997963
2017;10;Nord;90.47294998;2017-10;84.52665076
2017;6;Nord;87.40100792;2017-06;83.65019011
2016;4;Europe TGV;91.45090376;2016-04;75.92910234
2016;1;Europe TGV;92.40687679;2016-01;77.12009106
2016;5;Atlantique;87.50872296;2016-05;83.77710156
2016;4;OUIGO;89.78622328;2016-04;79.80997625
2016;4;Nord;94.15405777;2016-04;83.48700754
2016;2;Nord;94.16869143;2016-02;88.3248731
2016;3;Nord;91.70068027;2016-03;85.3394419
2016;5;Nord;92.00556135;2016-05;84.79830149
2015;9;Est;94.21487603;2015-09;85.53940321
2016;1;Est;96.15921788;2016-01;90.32009256
2016;7;Europe TGV;87.62146177;2016-07;71.63412127
2016;5;Sud-Est;88.77858536;2016-05;85.3695902
2016;9;Sud-Est;89.29754227;2016-09;84.25137233
2016;7;OUIGO;86.31346578;2016-07;71.52317881
2016;7;Nord;87.0601173;2016-07;82.54252462
2016;12;OUIGO;85.84070796;2016-12;78.53982301
2016;11;OUIGO;83.99071926;2016-11;77.03016241
2016;7;Est;93.78511236;2016-07;85.05512454
2016;10;Est;94.2795076;2016-10;86.35225376
2016;11;Nord;90;2016-11;86.94762684
2017;11;Sud-Est;86.9886466;2017-11;83.7045721
2018;7;Europe TGV;80.1;2018-07;88.5
2018;9;Sud-Est;87.4;2018-09;82.3
